Порядковый номер,Идентификационный номер,Классификация очагов,Год обследования,"Периметр территории очагов,м","Площадь территории очагов,м2"
3661,2027,Возникающий очаг,2017,19.0807781,26.7503948
3662,2028,Действующий очаг,2017,206.9924011,-498.3430481
3663,2029,Возникающий очаг,2017,149.8972473,354.463501
3664,2030,Действующий очаг,2017,56.312149,111.9034576
3665,2031,Действующий очаг,2017,42.7270393,69.4141617
3666,2032,Действующий очаг,2017,403.5714111,8523.0722656
3667,2033,Затухающий очаг,2017,31.1273193,40.6337013
3668,2034,Действующий очаг,2017,239.9937134,2416.854248
3669,2035,Затухающий очаг,2017,84.4197388,266.125885
3670,2036,Возникающий очаг,2017,17.178299,12.2975731
3671,2037,Возникающий очаг,2017,56.855278,265.5189819
3672,2038,Затухающий очаг,2017,25.2988605,49.4534798
3673,2039,Действующий очаг,2017,252.1907043,1719.7956543
3674,2040,Возникающий очаг,2017,12.8827829,7.9194503
3675,2041,Действующий очаг,2017,93.909996,80.2180405
3676,2042,Затухающий очаг,2017,16.8739681,6.9752407
3677,2043,Возникающий очаг,2017,23.1217422,38.6372375
3678,2044,Возникающий очаг,2017,33.5138321,57.3434563
3679,2045,Возникающий очаг,2017,37.8009949,145.452179
3680,2046,Возникающий очаг,2017,30.3356209,90.695961
3681,2047,Действующий очаг,2017,61.8199234,29.4437618
3682,2048,Возникающий очаг,2017,18.988306,21.3254433
3683,2049,Возникающий очаг,2017,18.0959568,9.7000751
3684,2050,Возникающий очаг,2017,36.8046799,84.5723877
3685,2051,Действующий очаг,2017,27.3788815,23.5697384
3686,2052,Действующий очаг,2017,237.4629669,353.513855
3687,2053,Возникающий очаг,2017,30.5580521,41.6211128
3688,2054,Действующий очаг,2017,146.7743073,-2534.4133301
3689,2055,Без признаков поражения,2017,49.2724304,104.0899506
3690,2056,Возникающий очаг,2017,13.2735147,-2.3135583
3691,2057,Возникающий очаг,2017,67.8032455,79.5905685
3692,2058,Без признаков поражения,2017,36.7937584,47.7315102
3693,2059,Возникающий очаг,2017,30.0035877,50.6753578
3694,2060,Возникающий очаг,2017,56.9822426,173.931839
3695,2061,Без признаков поражения,2017,16.957489,14.1346893
3696,2062,Без признаков поражения,2017,30.5034218,-10.9871702
3697,2063,Возникающий очаг,2017,22.8409424,32.1397018
3698,2064,Затухающий очаг,2017,17.6762257,16.8642349
3699,2065,Без признаков поражения,2017,24.0811176,6.933043
3700,2066,Затухающий очаг,2017,13.9654846,9.2922125
3701,2067,Возникающий очаг,2017,25.7215633,32.8574791
3702,2068,Действующий очаг,2017,253.492157,1850.2967529
3703,2069,Возникающий очаг,2017,13.8718748,6.0800376
3704,2070,Возникающий очаг,2017,27.0335827,22.1217289
3705,2071,Без признаков поражения,2017,85.5884781,-114.5031204
3706,2072,Возникающий очаг,2017,28.9669876,47.8576431
3707,2073,Возникающий очаг,2017,22.5224991,34.8602295
3708,2074,Действующий очаг,2017,241.4577484,-4944.4506836
3709,2075,Действующий очаг,2017,35.5245972,59.1409607
3710,2076,Без признаков поражения,2017,32.3890266,38.4327049
3711,2077,Действующий очаг,2017,96.7077484,-91.6822205
3712,2078,Действующий очаг,2017,97.6659927,346.9849854
3713,2079,Затухающий очаг,2017,62.5727348,242.5012665
3714,2080,Возникающий очаг,2017,127.8168106,-84.9781647
3715,2081,Без признаков поражения,2017,79.7328949,-27.9048691
3716,2082,Возникающий очаг,2017,88.9005203,368.1136169
3717,2083,Возникающий очаг,2017,47.8041916,57.2758408
3718,2084,Действующий очаг,2017,153.1701965,-739.5309448
3719,2085,Без признаков поражения,2017,60.2143822,196.5512238
3720,2086,Действующий очаг,2017,83.9012375,319.0332947
3721,2087,Действующий очаг,2017,367.0907593,34.832016
3722,2088,Действующий очаг,2017,76.2769089,150.4257202
3723,2089,Без признаков поражения,2017,340.3388977,2651.9868164
3724,2090,Без признаков поражения,2017,212.3383789,1601.6433105
3725,2091,Возникающий очаг,2017,96.1773529,375.8908691
3726,2092,Действующий очаг,2017,233.0046692,290.8881836
3727,2093,Действующий очаг,2017,91.6893997,-117.593132
3728,2094,Возникающий очаг,2017,190.7990112,772.7481079
3729,2095,Без признаков поражения,2017,97.3233032,289.0732117
3730,2096,Действующий очаг,2017,222.054306,441.8288879
3731,2097,Возникающий очаг,2017,19.918766,22.4693775
3732,2098,Действующий очаг,2017,195.9241791,482.3442993
3733,2099,Возникающий очаг,2017,566.5629883,6219.6518555
3734,2100,Действующий очаг,2017,93.6889496,663.6005859
3735,2101,Без признаков поражения,2017,67.2943954,291.284668
3736,2102,Затухающий очаг,2017,145.9827881,-1052.3248291
3737,2103,Возникающий очаг,2017,159.2831573,444.7128601
3738,2104,Действующий очаг,2017,74.6926041,785.696228
3739,2105,Возникающий очаг,2017,52.8045998,97.6105957
3740,2106,Действующий очаг,2017,110.8941116,258.8970032
3741,2107,Без признаков поражения,2017,27.1842957,53.6942368
3742,2108,Действующий очаг,2017,323.2499084,-813.3461914
